ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0000779	condensed chromosome, centromeric region	1/279	189/19556	0.00529100529100529	0.370863438963797	-1.04557679940154	0.934719628035806	1	1	CENPA	1
GO:0001726	ruffle	1/279	190/19556	0.00526315789473684	0.368911526127146	-1.05161887672353	0.93566005369688	1	1	FAM107A	1
GO:0030055	cell-substrate junction	3/279	414/19556	0.0072463768115942	0.50792166640694	-1.21745255656105	0.936991129635537	1	1	SLC6A4/CAV3/FAM107A	3
GO:0005912	adherens junction	1/279	199/19556	0.0050251256281407	0.352227085247024	-1.10494735395133	0.943538995079269	1	1	CDH19	1
GO:0005681	spliceosomal complex	1/279	209/19556	0.00478468899521531	0.335374114661042	-1.16213041387118	0.951170556151984	1	1	DQX1	1
GO:0031901	early endosome membrane	1/279	209/19556	0.00478468899521531	0.335374114661042	-1.16213041387118	0.951170556151984	1	1	GRIA1	1
GO:0055037	recycling endosome	1/279	212/19556	0.00471698113207547	0.330628254547914	-1.17889046042437	0.953252829710285	1	1	GRIA1	1
GO:0005788	endoplasmic reticulum lumen	2/279	337/19556	0.00593471810089021	0.415983323229423	-1.30102635395739	0.954913045381101	1	1	ARSH/COL11A1	2
GO:0005769	early endosome	3/279	446/19556	0.00672645739910314	0.471478856261151	-1.358347038004	0.955196003634358	1	1	GRIA1/SH3GL2/AGER	3
GO:0005635	nuclear envelope	3/279	457/19556	0.00656455142231947	0.460130349874121	-1.40492450354976	0.960227714948158	1	1	ADRA1A/SCGB1A1/BCL2L10	3
GO:0000228	nuclear chromosome	1/279	230/19556	0.00434782608695652	0.304752999844164	-1.27597845736952	0.964013923595734	1	1	HMGA2	1
GO:0000151	ubiquitin ligase complex	2/279	360/19556	0.00555555555555556	0.389406610911987	-1.40672519437736	0.965932748684024	1	1	PRAME/ZYG11A	2
GO:0005874	microtubule	3/279	491/19556	0.00610997963340122	0.428267963121127	-1.54356939073793	0.972635118390486	1	1	TEKT1/CFAP107/TUBB3	3
GO:0000775	chromosome, centromeric region	1/279	256/19556	0.00390625	0.273801523297491	-1.4070448788599	0.975349417059678	1	1	CENPA	1
GO:0098791	Golgi apparatus subcompartment	2/279	404/19556	0.00495049504950495	0.346995989921573	-1.59555122743873	0.980247113273982	1	1	B4GALNT4/CA4	2
GO:0061695	transferase complex, transferring phosphorus-containing groups	1/279	276/19556	0.0036231884057971	0.25396083320347	-1.50166805712422	0.981580188965465	1	1	TERT	1
GO:0098687	chromosomal region	2/279	416/19556	0.00480769230769231	0.336986490212297	-1.64440718052193	0.983006646550367	1	1	TERT/CENPA	2
GO:0005802	trans-Golgi network	1/279	285/19556	0.00350877192982456	0.245941017418097	-1.54271929082596	0.983845329089167	1	1	CA4	1
GO:0000793	condensed chromosome	1/279	290/19556	0.00344827586206897	0.24170065504882	-1.56514720461243	0.984981482836303	1	1	CENPA	1
GO:0005819	spindle	2/279	432/19556	0.00462962962962963	0.324505509093323	-1.70799110816774	0.986111416004143	1	1	TUBB3/BCL2L10	2
GO:0005938	cell cortex	1/279	323/19556	0.00309597523219814	0.217006780074792	-1.70705311694772	0.990723371183338	1	1	SLC4A1	1
GO:0005765	lysosomal membrane	2/279	464/19556	0.00431034482758621	0.302125818811025	-1.83029754349934	0.990756049518813	1	1	CEACAM8/ATP10B	2
GO:0098852	lytic vacuole membrane	2/279	464/19556	0.00431034482758621	0.302125818811025	-1.83029754349934	0.990756049518813	1	1	CEACAM8/ATP10B	2
GO:0000109	nucleotide-excision repair complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0000118	histone deacetylase complex	0/279	79/19556	0	0	-1.07142999797056	1	1	1		0
GO:0000123	histone acetyltransferase complex	0/279	88/19556	0	0	-1.13107643775152	1	1	1		0
GO:0000124	SAGA complex	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0000137	Golgi cis cisterna	0/279	29/19556	0	0	-0.648324634559027	1	1	1		0
GO:0000145	exocyst	0/279	17/19556	0	0	-0.496231789303129	1	1	1		0
GO:0000152	nuclear ubiquitin ligase complex	0/279	45/19556	0	0	-0.807937526738591	1	1	1		0
GO:0000153	cytoplasmic ubiquitin ligase complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0000164	protein phosphatase type 1 complex	0/279	21/19556	0	0	-0.551587261213623	1	1	1		0
GO:0000172	ribonuclease MRP complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0000176	nuclear exosome (RNase complex)	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0000177	cytoplasmic exosome (RNase complex)	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0000178	exosome (RNase complex)	0/279	20/19556	0	0	-0.53828027130247	1	1	1		0
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0000235	astral microtubule	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0000242	pericentriolar material	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	0/279	66/19556	0	0	-0.978987927556231	1	1	1		0
GO:0000313	organellar ribosome	0/279	80/19556	0	0	-1.07821755534886	1	1	1		0
GO:0000314	organellar small ribosomal subunit	0/279	27/19556	0	0	-0.625537236962363	1	1	1		0
GO:0000315	organellar large ribosomal subunit	0/279	52/19556	0	0	-0.868662584553022	1	1	1		0
GO:0000346	transcription export complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0000407	phagophore assembly site	0/279	39/19556	0	0	-0.752033280938765	1	1	1		0
GO:0000421	autophagosome membrane	0/279	63/19556	0	0	-0.956405844604421	1	1	1		0
GO:0000428	DNA-directed RNA polymerase complex	0/279	109/19556	0	0	-1.25950016859454	1	1	1		0
GO:0000439	transcription factor TFIIH core complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0000502	proteasome complex	0/279	65/19556	0	0	-0.971518121213461	1	1	1		0
GO:0000791	euchromatin	0/279	61/19556	0	0	-0.94105408842937	1	1	1		0
GO:0000794	condensed nuclear chromosome	0/279	83/19556	0	0	-1.09833267111305	1	1	1		0
GO:0000795	synaptonemal complex	0/279	42/19556	0	0	-0.78048180491595	1	1	1		0
GO:0000800	lateral element	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0000803	sex chromosome	0/279	33/19556	0	0	-0.691663695746134	1	1	1		0
GO:0000812	Swr1 complex	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0000813	ESCRT I complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0000815	ESCRT III complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0000922	spindle pole	0/279	187/19556	0	0	-1.65302146016879	1	1	1		0
GO:0000930	gamma-tubulin complex	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0000931	gamma-tubulin ring complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0000940	outer kinetochore	0/279	20/19556	0	0	-0.53828027130247	1	1	1		0
GO:0000974	Prp19 complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0001401	SAM complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0001518	voltage-gated sodium channel complex	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0001527	microfibril	0/279	29/19556	0	0	-0.648324634559027	1	1	1		0
GO:0001534	radial spoke	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0001650	fibrillar center	0/279	108/19556	0	0	-1.25367709978768	1	1	1		0
GO:0001669	acrosomal vesicle	0/279	162/19556	0	0	-1.53757071861919	1	1	1		0
GO:0001673	male germ cell nucleus	0/279	31/19556	0	0	-0.670342282391948	1	1	1		0
GO:0001741	XY body	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0001772	immunological synapse	0/279	47/19556	0	0	-0.825738839737444	1	1	1		0
GO:0001931	uropod	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0001939	female pronucleus	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0002080	acrosomal membrane	0/279	36/19556	0	0	-0.722474680826183	1	1	1		0
GO:0002102	podosome	0/279	40/19556	0	0	-0.761633221260175	1	1	1		0
GO:0002116	semaphorin receptor complex	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0002177	manchette	0/279	26/19556	0	0	-0.613828205481441	1	1	1		0
GO:0002178	palmitoyltransferase complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005637	nuclear inner membrane	0/279	56/19556	0	0	-0.901546218148226	1	1	1		0
GO:0005640	nuclear outer membrane	0/279	32/19556	0	0	-0.681085881582137	1	1	1		0
GO:0005641	nuclear envelope lumen	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005643	nuclear pore	0/279	93/19556	0	0	-1.16291472873947	1	1	1		0
GO:0005652	nuclear lamina	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0005657	replication fork	0/279	77/19556	0	0	-1.05772634583001	1	1	1		0
GO:0005662	DNA replication factor A complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0005665	RNA polymerase II, core complex	0/279	17/19556	0	0	-0.496231789303129	1	1	1		0
GO:0005666	RNA polymerase III complex	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0005669	transcription factor TFIID complex	0/279	44/19556	0	0	-0.798889535926207	1	1	1		0
GO:0005675	transcription factor TFIIH holo complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0005677	chromatin silencing complex	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0005680	anaphase-promoting complex	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0005682	U5 snRNP	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0005684	U2-type spliceosomal complex	0/279	94/19556	0	0	-1.16918027751121	1	1	1		0
GO:0005685	U1 snRNP	0/279	31/19556	0	0	-0.670342282391948	1	1	1		0
GO:0005686	U2 snRNP	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0005687	U4 snRNP	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005688	U6 snRNP	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005689	U12-type spliceosomal complex	0/279	26/19556	0	0	-0.613828205481441	1	1	1		0
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex	0/279	30/19556	0	0	-0.659424794954258	1	1	1		0
GO:0005736	RNA polymerase I complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0005742	mitochondrial outer membrane translocase complex	0/279	24/19556	0	0	-0.589716869120204	1	1	1		0
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0005761	mitochondrial ribosome	0/279	80/19556	0	0	-1.07821755534886	1	1	1		0
GO:0005762	mitochondrial large ribosomal subunit	0/279	52/19556	0	0	-0.868662584553022	1	1	1		0
GO:0005763	mitochondrial small ribosomal subunit	0/279	27/19556	0	0	-0.625537236962363	1	1	1		0
GO:0005767	secondary lysosome	0/279	27/19556	0	0	-0.625537236962363	1	1	1		0
GO:0005776	autophagosome	0/279	126/19556	0	0	-1.35475312152724	1	1	1		0
GO:0005777	peroxisome	0/279	149/19556	0	0	-1.4740941387723	1	1	1		0
GO:0005778	peroxisomal membrane	0/279	65/19556	0	0	-0.971518121213461	1	1	1		0
GO:0005782	peroxisomal matrix	0/279	51/19556	0	0	-0.860247459688104	1	1	1		0
GO:0005786	signal recognition particle, endoplasmic reticulum targeting	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0005790	smooth endoplasmic reticulum	0/279	29/19556	0	0	-0.648324634559027	1	1	1		0
GO:0005797	Golgi medial cisterna	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0005798	Golgi-associated vesicle	0/279	97/19556	0	0	-1.18778242838654	1	1	1		0
GO:0005801	cis-Golgi network	0/279	77/19556	0	0	-1.05772634583001	1	1	1		0
GO:0005814	centriole	0/279	173/19556	0	0	-1.58936572006095	1	1	1		0
GO:0005818	aster	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005828	kinetochore microtubule	0/279	20/19556	0	0	-0.53828027130247	1	1	1		0
GO:0005832	chaperonin-containing T-complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005838	proteasome regulatory particle	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0005839	proteasome core complex	0/279	20/19556	0	0	-0.53828027130247	1	1	1		0
GO:0005840	ribosome	0/279	231/19556	0	0	-1.83932098908049	1	1	1		0
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0005849	mRNA cleavage factor complex	0/279	28/19556	0	0	-0.637032251978583	1	1	1		0
GO:0005852	eukaryotic translation initiation factor 3 complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0005858	axonemal dynein complex	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0005868	cytoplasmic dynein complex	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0005871	kinesin complex	0/279	47/19556	0	0	-0.825738839737444	1	1	1		0
GO:0005875	microtubule associated complex	0/279	152/19556	0	0	-1.48897514782271	1	1	1		0
GO:0005876	spindle microtubule	0/279	83/19556	0	0	-1.09833267111305	1	1	1		0
GO:0005883	neurofilament	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0005890	sodium:potassium-exchanging ATPase complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0005940	septin ring	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0005942	phosphatidylinositol 3-kinase complex	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0005952	cAMP-dependent protein kinase complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0008023	transcription elongation factor complex	0/279	51/19556	0	0	-0.860247459688104	1	1	1		0
GO:0008180	COP9 signalosome	0/279	35/19556	0	0	-0.712351395700709	1	1	1		0
GO:0008250	oligosaccharyltransferase complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0008278	cohesin complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0008305	integrin complex	0/279	30/19556	0	0	-0.659424794954258	1	1	1		0
GO:0008540	proteasome regulatory particle, base subcomplex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0010369	chromocenter	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0012510	trans-Golgi network transport vesicle membrane	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0014701	junctional sarcoplasmic reticulum membrane	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0015934	large ribosomal subunit	0/279	110/19556	0	0	-1.26529703389357	1	1	1		0
GO:0015935	small ribosomal subunit	0/279	68/19556	0	0	-0.993761366233198	1	1	1		0
GO:0016235	aggresome	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0016281	eukaryotic translation initiation factor 4F complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0016282	eukaryotic 43S preinitiation complex	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0016327	apicolateral plasma membrane	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0016363	nuclear matrix	0/279	129/19556	0	0	-1.37089209816672	1	1	1		0
GO:0016442	RISC complex	0/279	399/19556	0	0	-2.42791784035109	1	1	1		0
GO:0016469	proton-transporting two-sector ATPase complex	0/279	50/19556	0	0	-0.851750074694942	1	1	1		0
GO:0016471	vacuolar proton-transporting V-type ATPase complex	0/279	27/19556	0	0	-0.625537236962363	1	1	1		0
GO:0016514	SWI/SNF complex	0/279	26/19556	0	0	-0.613828205481441	1	1	1		0
GO:0016581	NuRD complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0016591	RNA polymerase II, holoenzyme	0/279	82/19556	0	0	-1.09166812922846	1	1	1		0
GO:0016592	mediator complex	0/279	38/19556	0	0	-0.742310202373307	1	1	1		0
GO:0017053	transcription repressor complex	0/279	66/19556	0	0	-0.978987927556231	1	1	1		0
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0017119	Golgi transport complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0019005	SCF ubiquitin ligase complex	0/279	65/19556	0	0	-0.971518121213461	1	1	1		0
GO:0019774	proteasome core complex, beta-subunit complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0019814	immunoglobulin complex	0/279	168/19556	0	0	-1.56602764164274	1	1	1		0
GO:0019908	nuclear cyclin-dependent protein kinase holoenzyme complex	0/279	24/19556	0	0	-0.589716869120204	1	1	1		0
GO:0022624	proteasome accessory complex	0/279	25/19556	0	0	-0.6018926672479	1	1	1		0
GO:0022625	cytosolic large ribosomal subunit	0/279	56/19556	0	0	-0.901546218148226	1	1	1		0
GO:0022626	cytosolic ribosome	0/279	117/19556	0	0	-1.30517052994454	1	1	1		0
GO:0022627	cytosolic small ribosomal subunit	0/279	39/19556	0	0	-0.752033280938765	1	1	1		0
GO:0030008	TRAPP complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030014	CCR4-NOT complex	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030117	membrane coat	0/279	96/19556	0	0	-1.18161361557913	1	1	1		0
GO:0030118	clathrin coat	0/279	51/19556	0	0	-0.860247459688104	1	1	1		0
GO:0030119	AP-type membrane coat adaptor complex	0/279	42/19556	0	0	-0.78048180491595	1	1	1		0
GO:0030120	vesicle coat	0/279	64/19556	0	0	-0.96399120968695	1	1	1		0
GO:0030121	AP-1 adaptor complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0030122	AP-2 adaptor complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0030123	AP-3 adaptor complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0030125	clathrin vesicle coat	0/279	36/19556	0	0	-0.722474680826183	1	1	1		0
GO:0030126	COPI vesicle coat	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0030127	COPII vesicle coat	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030128	clathrin coat of endocytic vesicle	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0030130	clathrin coat of trans-Golgi network vesicle	0/279	19/19556	0	0	-0.524637283148247	1	1	1		0
GO:0030131	clathrin adaptor complex	0/279	28/19556	0	0	-0.637032251978583	1	1	1		0
GO:0030132	clathrin coat of coated pit	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0030137	COPI-coated vesicle	0/279	25/19556	0	0	-0.6018926672479	1	1	1		0
GO:0030140	trans-Golgi network transport vesicle	0/279	40/19556	0	0	-0.761633221260175	1	1	1		0
GO:0030286	dynein complex	0/279	54/19556	0	0	-0.885255414985841	1	1	1		0
GO:0030496	midbody	0/279	186/19556	0	0	-1.64855313602235	1	1	1		0
GO:0030532	small nuclear ribonucleoprotein complex	0/279	96/19556	0	0	-1.18161361557913	1	1	1		0
GO:0030660	Golgi-associated vesicle membrane	0/279	58/19556	0	0	-0.917551082352481	1	1	1		0
GO:0030663	COPI-coated vesicle membrane	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0030670	phagocytic vesicle membrane	0/279	83/19556	0	0	-1.09833267111305	1	1	1		0
GO:0030673	axolemma	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0030677	ribonuclease P complex	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0030681	multimeric ribonuclease P complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0030684	preribosome	0/279	104/19556	0	0	-1.23011532003504	1	1	1		0
GO:0030686	90S preribosome	0/279	27/19556	0	0	-0.625537236962363	1	1	1		0
GO:0030687	preribosome, large subunit precursor	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0030688	preribosome, small subunit precursor	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0030864	cortical actin cytoskeleton	0/279	77/19556	0	0	-1.05772634583001	1	1	1		0
GO:0030867	rough endoplasmic reticulum membrane	0/279	28/19556	0	0	-0.637032251978583	1	1	1		0
GO:0030868	smooth endoplasmic reticulum membrane	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0030877	beta-catenin destruction complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0030894	replisome	0/279	24/19556	0	0	-0.589716869120204	1	1	1		0
GO:0030897	HOPS complex	0/279	12/19556	0	0	-0.416864760860404	1	1	1		0
GO:0030904	retromer complex	0/279	22/19556	0	0	-0.564582011647768	1	1	1		0
GO:0030964	NADH dehydrogenase complex	0/279	47/19556	0	0	-0.825738839737444	1	1	1		0
GO:0030990	intraciliary transport particle	0/279	25/19556	0	0	-0.6018926672479	1	1	1		0
GO:0030991	intraciliary transport particle A	0/279	23/19556	0	0	-0.577285608802785	1	1	1		0
GO:0030992	intraciliary transport particle B	0/279	18/19556	0	0	-0.510631365754515	1	1	1		0
GO:0031010	ISWI-type complex	0/279	14/19556	0	0	-0.450288443890802	1	1	1		0
GO:0031011	Ino80 complex	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0031074	nucleocytoplasmic transport complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0031080	nuclear pore outer ring	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0031082	BLOC complex	0/279	20/19556	0	0	-0.53828027130247	1	1	1		0
GO:0031083	BLOC-1 complex	0/279	15/19556	0	0	-0.466104746218514	1	1	1		0
GO:0031092	platelet alpha granule membrane	0/279	17/19556	0	0	-0.496231789303129	1	1	1		0
GO:0031094	platelet dense tubular network	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0031105	septin complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0031143	pseudopodium	0/279	17/19556	0	0	-0.496231789303129	1	1	1		0
GO:0031201	SNARE complex	0/279	46/19556	0	0	-0.816886218504304	1	1	1		0
GO:0031209	SCAR complex	0/279	11/19556	0	0	-0.399107411962378	1	1	1		0
GO:0031248	protein acetyltransferase complex	0/279	98/19556	0	0	-1.1939199974016	1	1	1		0
GO:0031254	cell trailing edge	0/279	16/19556	0	0	-0.481403229849255	1	1	1		0
GO:0031258	lamellipodium membrane	0/279	24/19556	0	0	-0.589716869120204	1	1	1		0
GO:0031261	DNA replication preinitiation complex	0/279	13/19556	0	0	-0.433897700206036	1	1	1		0
GO:0031312	extrinsic component of organelle membrane	0/279	28/19556	0	0	-0.637032251978583	1	1	1		0
GO:0031332	RNAi effector complex	0/279	400/19556	0	0	-2.4310218907563	1	1	1		0
GO:0031414	N-terminal protein acetyltransferase complex	0/279	10/19556	0	0	-0.380524251953553	1	1	1		0
GO:0031430	M band	0/279	29/19556	0	0	-0.648324634559027	1	1	1		0
GO:0031463	Cul3-RING ubiquitin ligase complex	0/279	64/19556	0	0	-0.96399120968695	1	1	1		0
