id	is_DEG	is_upregulated	is_downregulated	is_key_gene	logFC
TFAP2D	FALSE	FALSE	FALSE	FALSE	0.372889323773163
ERCC1	FALSE	FALSE	FALSE	FALSE	0.020741551432427
GABARAPL2	FALSE	FALSE	FALSE	FALSE	-0.0371458821413446
HOXC8	FALSE	FALSE	FALSE	FALSE	0.450287543592518
GUCA1A	FALSE	FALSE	FALSE	FALSE	0.0694411147350733
UTS2	FALSE	FALSE	FALSE	FALSE	0.0202946714545478
GNA11	FALSE	FALSE	FALSE	FALSE	-0.05417503591298
KCNQ1	FALSE	FALSE	FALSE	FALSE	-0.163355454965938
PRLH	FALSE	FALSE	FALSE	FALSE	-0.184131806372278
EPHA8	FALSE	FALSE	FALSE	FALSE	0.312035743444892
VASH1	FALSE	FALSE	FALSE	FALSE	-0.133409519729408
DRD4	FALSE	FALSE	FALSE	FALSE	0.133463422890702
SCT	FALSE	FALSE	FALSE	FALSE	0.111048256472571
DMRT3	FALSE	FALSE	FALSE	FALSE	0.360932569813653
TFAP2C	FALSE	FALSE	FALSE	FALSE	0.148966980434055
DLL3	TRUE	TRUE	FALSE	FALSE	0.659129341559554
RGS17	FALSE	FALSE	FALSE	FALSE	0.279967847547418
TGM1	FALSE	FALSE	FALSE	FALSE	-0.163239557569737
CDC6	FALSE	FALSE	FALSE	FALSE	0.3846014089181
MAPK13	FALSE	FALSE	FALSE	FALSE	0.0337417900460304
EFNA2	TRUE	TRUE	FALSE	FALSE	0.588143478575609
MAPK12	FALSE	FALSE	FALSE	FALSE	0.0886578818069923
MMP11	TRUE	TRUE	FALSE	FALSE	0.516344572414545
MAPK1	FALSE	FALSE	FALSE	FALSE	-0.0106766548594175
LGALS2	FALSE	FALSE	FALSE	FALSE	-0.166151083961333
CENPM	FALSE	FALSE	FALSE	FALSE	0.273556148177262
MIOX	TRUE	TRUE	FALSE	FALSE	0.518003664593834
BIK	FALSE	FALSE	FALSE	FALSE	0.232047330319631
PVALB	FALSE	FALSE	FALSE	FALSE	-0.195172101154688
POLE2	FALSE	FALSE	FALSE	FALSE	0.27051767081911
BDKRB1	FALSE	FALSE	FALSE	FALSE	0.138758408029951
AURKA	FALSE	FALSE	FALSE	FALSE	0.290188821362777
MYBL2	FALSE	FALSE	FALSE	FALSE	0.457367139439103
PROKR2	FALSE	FALSE	FALSE	FALSE	-0.00247785687128932
OXT	FALSE	FALSE	FALSE	FALSE	0.137276122382087
SLC32A1	FALSE	FALSE	FALSE	FALSE	-0.0570033827027201
CST4	TRUE	TRUE	FALSE	FALSE	0.515157291056797
MLNR	FALSE	FALSE	FALSE	FALSE	0.0868372203955747
GABPB1	FALSE	FALSE	FALSE	FALSE	0.0391481934049231
OIP5	FALSE	FALSE	FALSE	FALSE	0.341404943063226
LGALS13	FALSE	FALSE	FALSE	FALSE	0.0179935466481993
FBL	FALSE	FALSE	FALSE	FALSE	0.079552265220892
CRX	FALSE	FALSE	FALSE	FALSE	0.0376679882642303
PIK3R2	FALSE	FALSE	FALSE	FALSE	0.166749238729592
TWISTNB	FALSE	FALSE	FALSE	FALSE	NA
NPVF	FALSE	FALSE	FALSE	FALSE	-0.0024483611819992
HOXA2	FALSE	FALSE	FALSE	FALSE	-0.159214473964977
LFNG	FALSE	FALSE	FALSE	FALSE	-0.00297414374904736
C5	FALSE	FALSE	FALSE	FALSE	-0.168701778573862
RASD1	FALSE	FALSE	FALSE	FALSE	-0.0448949192496286
KAT2A	FALSE	FALSE	FALSE	FALSE	0.145343576651764
RCVRN	FALSE	FALSE	FALSE	FALSE	-0.177609635883891
FOXN1	FALSE	FALSE	FALSE	FALSE	0.122740814495722
IBSP	TRUE	TRUE	FALSE	FALSE	0.559097753217643
GNRHR	FALSE	FALSE	FALSE	FALSE	0.119535260097036
SULT1E1	FALSE	FALSE	FALSE	FALSE	-0.11988254191186
GAR1	FALSE	FALSE	FALSE	FALSE	0.0492665442132303
PRR4	FALSE	FALSE	FALSE	FALSE	NA
RAD51AP1	FALSE	FALSE	FALSE	FALSE	0.273003085965763
GNB3	FALSE	FALSE	FALSE	FALSE	0.22909872424859
FBXO5	FALSE	FALSE	FALSE	FALSE	0.117605683197663
MAPK14	FALSE	FALSE	FALSE	FALSE	-0.000382152365975941
MDFI	FALSE	FALSE	FALSE	FALSE	0.138326331359365
ISL1	FALSE	FALSE	FALSE	FALSE	0.269528850645986
MLH1	FALSE	FALSE	FALSE	FALSE	-0.0218767786506957
RBP1	FALSE	FALSE	FALSE	FALSE	0.015086806847366
GNB4	FALSE	FALSE	FALSE	FALSE	-0.0493174829856295
TLX2	FALSE	FALSE	FALSE	FALSE	0.374012936998994
DLX2	FALSE	FALSE	FALSE	FALSE	0.385139988527873
ORC2	FALSE	FALSE	FALSE	FALSE	0.0613358079707256
KISS1R	TRUE	TRUE	FALSE	FALSE	0.612556013441422
BCL9	FALSE	FALSE	FALSE	FALSE	0.0819121377219032
OPRD1	FALSE	FALSE	FALSE	FALSE	0.00310367977939396
TTR	FALSE	FALSE	FALSE	FALSE	-0.160899815320827
MSX2	FALSE	FALSE	FALSE	FALSE	0.100457085412009
TBX2	FALSE	FALSE	FALSE	FALSE	-0.195238647893238
NCAPH	FALSE	FALSE	FALSE	FALSE	0.3711136331202
MND1	FALSE	FALSE	FALSE	FALSE	0.211145014454507
KALRN	FALSE	FALSE	FALSE	FALSE	-0.0740061733137392
GHSR	FALSE	FALSE	FALSE	FALSE	0.0161661186653657
PDE1B	FALSE	FALSE	FALSE	FALSE	-0.22446527041816
HOXC13	TRUE	TRUE	FALSE	FALSE	0.85143332442867
HOXC12	FALSE	FALSE	FALSE	FALSE	0.319256462792993
HOXC6	FALSE	FALSE	FALSE	FALSE	0.306924142516282
H4C6	FALSE	FALSE	FALSE	FALSE	0.0189920468149696
H1-1	FALSE	FALSE	FALSE	FALSE	0.0644008014650344
BMP4	FALSE	FALSE	FALSE	FALSE	-0.106985058077249
SOX9	FALSE	FALSE	FALSE	FALSE	0.079017677804905
CDC25B	FALSE	FALSE	FALSE	FALSE	0.0401377715279256
GNRH2	FALSE	FALSE	FALSE	FALSE	0.0998161093539425
FNTB	FALSE	FALSE	FALSE	FALSE	0.0356078427576083
SLURP1	FALSE	FALSE	FALSE	FALSE	0.229433593509479
STATH	FALSE	FALSE	FALSE	FALSE	0.0851673170910283
DLGAP5	FALSE	FALSE	FALSE	FALSE	0.449908034129061
F2RL3	FALSE	FALSE	FALSE	FALSE	-0.208556458083086
GNG13	FALSE	FALSE	FALSE	FALSE	0.18965895292784
GNG11	FALSE	FALSE	FALSE	FALSE	-0.23420454449808
GNGT1	TRUE	TRUE	FALSE	FALSE	0.745253407241018
MCHR1	FALSE	FALSE	FALSE	FALSE	0.216319277829741
GALR3	FALSE	FALSE	FALSE	FALSE	0.159991105490309
OPN1SW	FALSE	FALSE	FALSE	FALSE	0.0438680171153809
HOXD9	FALSE	FALSE	FALSE	FALSE	0.114865171239255
E2F8	FALSE	FALSE	FALSE	FALSE	0.397412985697322
PIMREG	FALSE	FALSE	FALSE	FALSE	0.439287395269263
BCL2L2	FALSE	FALSE	FALSE	FALSE	-0.0680486261704756
FOXA1	FALSE	FALSE	FALSE	FALSE	0.0564245578298932
CHRNA10	FALSE	FALSE	FALSE	FALSE	-0.131696012292952
CNGB1	FALSE	FALSE	FALSE	FALSE	0.198585582251131
NCAPG	FALSE	FALSE	FALSE	FALSE	0.390986220071592
KRTAP9-8	FALSE	FALSE	FALSE	FALSE	0.00067808056563079
RPA1	FALSE	FALSE	FALSE	FALSE	0.0309182789282074
H3-3B	FALSE	FALSE	FALSE	FALSE	-0.0109373351897686
TERF2	FALSE	FALSE	FALSE	FALSE	0.00936434892237781
SSTR4	TRUE	FALSE	TRUE	FALSE	-0.546879878392836
NMUR2	FALSE	FALSE	FALSE	FALSE	-0.267797301036313
CCNA1	FALSE	FALSE	FALSE	FALSE	-0.0875163566477628
NTS	FALSE	FALSE	FALSE	FALSE	0.0607246461714395
KRAS	FALSE	FALSE	FALSE	FALSE	0.0431122959125849
CCNB1	FALSE	FALSE	FALSE	FALSE	0.313508761730692
GRP	FALSE	FALSE	FALSE	FALSE	-0.166019506127401
SPX	FALSE	FALSE	FALSE	FALSE	-0.364686154451086
TBX3	FALSE	FALSE	FALSE	FALSE	-0.169440064033125
HRK	FALSE	FALSE	FALSE	FALSE	-0.0696697052797344
ORC3	FALSE	FALSE	FALSE	FALSE	0.0199052992963882
NAT10	FALSE	FALSE	FALSE	FALSE	0.0686994254052467
CDK4	FALSE	FALSE	FALSE	FALSE	0.0938843487831429
TROAP	FALSE	FALSE	FALSE	FALSE	0.483221320151751
ESPL1	FALSE	FALSE	FALSE	FALSE	0.36500442151566
NMBR	FALSE	FALSE	FALSE	FALSE	-0.252010622430063
EMX1	FALSE	FALSE	FALSE	FALSE	0.401432534783084
SPDYE1	FALSE	FALSE	FALSE	FALSE	0.0601012405067154
IL36G	TRUE	TRUE	FALSE	FALSE	0.635291287819622
IL36RN	TRUE	TRUE	FALSE	FALSE	0.731587162164995
GABBR2	FALSE	FALSE	FALSE	FALSE	-0.0361449595579471
PDCL	FALSE	FALSE	FALSE	FALSE	-0.0291031328864726
POU5F1	FALSE	FALSE	FALSE	FALSE	0.029393847668425
KIF23	FALSE	FALSE	FALSE	FALSE	0.309804424414481
PLCB2	FALSE	FALSE	FALSE	FALSE	-0.108873453107043
ADAM10	FALSE	FALSE	FALSE	FALSE	-0.0139426900822812
SIX3	FALSE	FALSE	FALSE	FALSE	0.0524987369225567
KIF11	FALSE	FALSE	FALSE	FALSE	0.305060358793415
GPR87	TRUE	TRUE	FALSE	FALSE	0.509253563861768
GUCA1C	FALSE	FALSE	FALSE	FALSE	0.0462349520838923
CCND2	FALSE	FALSE	FALSE	FALSE	-0.115405920375086
NDC80	FALSE	FALSE	FALSE	FALSE	0.381874005418539
LHX5	TRUE	TRUE	FALSE	FALSE	0.520545574077453
CHRNB4	TRUE	TRUE	FALSE	FALSE	0.586115869515299
GNB5	FALSE	FALSE	FALSE	FALSE	0.044298219371254
HCN4	FALSE	FALSE	FALSE	FALSE	-0.214894539907585
VSX2	FALSE	FALSE	FALSE	FALSE	-0.0876586671125805
VIPR2	FALSE	FALSE	FALSE	FALSE	-0.191298186079172
RGS9	FALSE	FALSE	FALSE	FALSE	-0.066706727697035
INVS	FALSE	FALSE	FALSE	FALSE	-0.0019026904737256
CHST8	FALSE	FALSE	FALSE	FALSE	-0.0994454566473495
CCNE1	FALSE	FALSE	FALSE	FALSE	0.377901853949116
AJUBA	FALSE	FALSE	FALSE	FALSE	-0.00536450269864464
PIK3R3	FALSE	FALSE	FALSE	FALSE	-0.0812316166502676
KCNQ4	FALSE	FALSE	FALSE	FALSE	-0.0394873767129749
MAPK3	FALSE	FALSE	FALSE	FALSE	-0.0630860703359151
SLC17A6	FALSE	FALSE	FALSE	FALSE	-0.0143950660882721
KIF18A	FALSE	FALSE	FALSE	FALSE	0.183277332221445
ITPKC	FALSE	FALSE	FALSE	FALSE	-0.0499932110317598
LCN1	FALSE	FALSE	FALSE	FALSE	-0.0163796161426815
BARHL1	FALSE	FALSE	FALSE	FALSE	0.00492123973392644
SGO1	FALSE	FALSE	FALSE	FALSE	0.456747782577317
STRN	FALSE	FALSE	FALSE	FALSE	0.00938858314576319
PIK3CA	FALSE	FALSE	FALSE	FALSE	0.0156895748667027
NMU	TRUE	TRUE	FALSE	FALSE	0.569955068753859
IL1RL2	FALSE	FALSE	FALSE	FALSE	0.2472625005986
GABRA4	FALSE	FALSE	FALSE	FALSE	-0.412868759366559
NEIL3	TRUE	TRUE	FALSE	FALSE	0.526589724029306
HDAC4	FALSE	FALSE	FALSE	FALSE	-0.0222643490318681
WNT5A	FALSE	FALSE	FALSE	FALSE	0.0471324595010145
FGF10	TRUE	FALSE	TRUE	FALSE	-0.568522034664058
KCNN2	FALSE	FALSE	FALSE	FALSE	-0.154965954826345
GRK7	FALSE	FALSE	FALSE	FALSE	0.177455994078244
DEPDC1B	FALSE	FALSE	FALSE	FALSE	0.459987523824705
RASGRF2	FALSE	FALSE	FALSE	FALSE	-0.0379171038530233
CENPE	FALSE	FALSE	FALSE	FALSE	0.304746748150958
LEF1	FALSE	FALSE	FALSE	FALSE	0.107862470679304
EGF	FALSE	FALSE	FALSE	FALSE	0.102541076811213
CALB1	FALSE	FALSE	FALSE	FALSE	0.176144722100722
GAL	TRUE	TRUE	FALSE	FALSE	0.613194386486599
SRI	FALSE	FALSE	FALSE	FALSE	-0.00661208166238136
DAXX	FALSE	FALSE	FALSE	FALSE	0.0244907886438694
CACNA1C	FALSE	FALSE	FALSE	FALSE	-0.136600395560582
B4GALNT3	FALSE	FALSE	FALSE	FALSE	0.0404974422306026
PDE6H	FALSE	FALSE	FALSE	FALSE	-0.040626641314871
ASCL1	FALSE	FALSE	FALSE	FALSE	0.0011359117849592
CDK2	FALSE	FALSE	FALSE	FALSE	0.0661957347151736
NPFF	FALSE	FALSE	FALSE	FALSE	-0.00767757662876312
KRT71	FALSE	FALSE	FALSE	FALSE	0.0430474677682691
ZIC5	TRUE	TRUE	FALSE	FALSE	0.583062051827668
SSTR1	FALSE	FALSE	FALSE	FALSE	-0.484168967696519
TINF2	FALSE	FALSE	FALSE	FALSE	-0.0441235823396706
TP53	FALSE	FALSE	FALSE	FALSE	0.0337344680758616
KRT10	FALSE	FALSE	FALSE	FALSE	0.104362249795737
CYP4F22	FALSE	FALSE	FALSE	FALSE	-0.142799991539968
SSBP4	FALSE	FALSE	FALSE	FALSE	-0.010739205869009
PLK4	FALSE	FALSE	FALSE	FALSE	0.240664185567913
PROK1	FALSE	FALSE	FALSE	FALSE	-0.0309296401332517
NUF2	FALSE	FALSE	FALSE	FALSE	0.452936053727161
LEFTY1	FALSE	FALSE	FALSE	FALSE	-0.0693479931425207
ABCA12	TRUE	TRUE	FALSE	FALSE	0.6587855917604
UCN2	TRUE	TRUE	FALSE	FALSE	0.572493154245706
CENPC	FALSE	FALSE	FALSE	FALSE	-0.0162715340372008
CRHBP	FALSE	FALSE	FALSE	FALSE	-0.240355785193982
SPATA9	FALSE	FALSE	FALSE	FALSE	0.0271654860506079
GABRA6	FALSE	FALSE	FALSE	FALSE	0.0380941489905622
GABRB2	FALSE	FALSE	FALSE	FALSE	-0.289706633125214
H2BC1	FALSE	FALSE	FALSE	FALSE	0.0593916516998783
EGFR	FALSE	FALSE	FALSE	FALSE	0.0207398913448529
CDCA5	FALSE	FALSE	FALSE	FALSE	0.357545803034926
CHRNA6	FALSE	FALSE	FALSE	FALSE	0.291152967465639
GNRH1	FALSE	FALSE	FALSE	FALSE	-0.0167901952319038
CRH	FALSE	FALSE	FALSE	FALSE	-0.313887784283983
TERF1	FALSE	FALSE	FALSE	FALSE	0.0250746248659208
NTRK2	FALSE	FALSE	FALSE	FALSE	-0.0848623669390864
OR1K1	FALSE	FALSE	FALSE	FALSE	-0.00804455950558935
POU4F2	FALSE	FALSE	FALSE	FALSE	0.0211146316270385
CENPU	FALSE	FALSE	FALSE	FALSE	0.278155101677942
MCHR2	FALSE	FALSE	FALSE	FALSE	0.197652885375019
CYSLTR2	FALSE	FALSE	FALSE	FALSE	-0.13529805960936
SPC25	FALSE	FALSE	FALSE	FALSE	0.335763619828247
TCF7L1	FALSE	FALSE	FALSE	FALSE	-0.0585899929692157
GJA1	FALSE	FALSE	FALSE	FALSE	-0.0605284618571647
HHEX	FALSE	FALSE	FALSE	FALSE	-0.0803321538391044
ZIC1	FALSE	FALSE	FALSE	FALSE	0.262647267345741
FEZF2	FALSE	FALSE	FALSE	FALSE	0.065892807391347
NRGN	FALSE	FALSE	FALSE	FALSE	-0.265995016216981
DISP1	FALSE	FALSE	FALSE	FALSE	-0.102820799273042
SKA1	FALSE	FALSE	FALSE	FALSE	0.426863820613241
LSM11	FALSE	FALSE	FALSE	FALSE	0.0163319531792068
ADCY8	TRUE	FALSE	TRUE	FALSE	-0.72202573018412
GNAQ	FALSE	FALSE	FALSE	FALSE	-0.112785082317129
ZIC3	FALSE	FALSE	FALSE	FALSE	0.134989108471678
BUB1B	FALSE	FALSE	FALSE	FALSE	0.4379054565256
CACNA1D	FALSE	FALSE	FALSE	FALSE	-0.218126408046719
CCNB2	FALSE	FALSE	FALSE	FALSE	0.368623470080169
GRHL3	TRUE	TRUE	FALSE	FALSE	0.556426494719307
H2BC5	FALSE	FALSE	FALSE	FALSE	0.215103594719693
CHRNB3	FALSE	FALSE	FALSE	FALSE	0.0487403785417611
SIM2	TRUE	TRUE	FALSE	FALSE	0.708483328720015
NPTN	FALSE	FALSE	FALSE	FALSE	-0.0104087987355896
IRX6	FALSE	FALSE	FALSE	FALSE	-0.159539160122089
PGLYRP3	TRUE	TRUE	FALSE	FALSE	0.686686651000912
ISL2	FALSE	FALSE	FALSE	FALSE	0.280902086169522
KIAA0895L	FALSE	FALSE	FALSE	FALSE	NA
AGRP	TRUE	FALSE	TRUE	FALSE	-0.603456882612789
CSTB	FALSE	FALSE	FALSE	FALSE	0.0339950992437856
FGFR4	FALSE	FALSE	FALSE	FALSE	-0.328299725470792
PTGER1	FALSE	FALSE	FALSE	FALSE	-0.151751567967283
HCRT	FALSE	FALSE	FALSE	FALSE	0.00885373219499641
SDR9C7	FALSE	FALSE	FALSE	FALSE	0.302967068431359
C6orf136	FALSE	FALSE	FALSE	FALSE	0.0713319690697158
FGF11	TRUE	TRUE	FALSE	FALSE	0.502983867393488
SSTR5	FALSE	FALSE	FALSE	FALSE	0.22366019852562
ADCY9	FALSE	FALSE	FALSE	FALSE	-0.138956828259779
GNG3	FALSE	FALSE	FALSE	FALSE	0.204451737213762
NEUROD1	FALSE	FALSE	FALSE	FALSE	-0.022358405039939
GABRG1	FALSE	FALSE	FALSE	FALSE	-0.0442411148381936
GABRB1	FALSE	FALSE	FALSE	FALSE	-0.00525416391963685
CCKAR	FALSE	FALSE	FALSE	FALSE	0.0360950259791695
PROK2	FALSE	FALSE	FALSE	FALSE	-0.357393031816699
UCN	FALSE	FALSE	FALSE	FALSE	0.0770496310245994
CAMK2N2	FALSE	FALSE	FALSE	FALSE	0.380324382813167
RHO	FALSE	FALSE	FALSE	FALSE	0.029669354480399
H2AZ1	FALSE	FALSE	FALSE	FALSE	0.0832637093829849
MAD2L1	FALSE	FALSE	FALSE	FALSE	0.297135248512082
F2RL2	FALSE	FALSE	FALSE	FALSE	0.160427673673287
FOXQ1	FALSE	FALSE	FALSE	FALSE	0.0483461782813848
NPM1	FALSE	FALSE	FALSE	FALSE	0.0447729923840461
IL22RA2	TRUE	TRUE	FALSE	FALSE	0.518378455736498
SHH	FALSE	FALSE	FALSE	FALSE	-0.242813920435739
RGS20	FALSE	FALSE	FALSE	FALSE	0.377091244283863
ADCY1	FALSE	FALSE	FALSE	FALSE	-0.0395821057144694
ORC5	FALSE	FALSE	FALSE	FALSE	0.0994487757350342
MELK	FALSE	FALSE	FALSE	FALSE	0.443128028583117
PHOX2A	FALSE	FALSE	FALSE	FALSE	0.100084444255697
CHRNA5	FALSE	FALSE	FALSE	FALSE	0.409266818512086
GALR1	FALSE	FALSE	FALSE	FALSE	-0.123105837405252
CHRFAM7A	FALSE	FALSE	FALSE	FALSE	-0.0109481433964316
PCLAF	FALSE	FALSE	FALSE	FALSE	0.347956827371266
TERF2IP	FALSE	FALSE	FALSE	FALSE	-0.0327231375547505
PLK1	FALSE	FALSE	FALSE	FALSE	0.379128776295216
TPX2	FALSE	FALSE	FALSE	FALSE	0.39973391709174
GNG8	FALSE	FALSE	FALSE	FALSE	0.0415690068252186
KMT2D	FALSE	FALSE	FALSE	FALSE	-0.0145947405513693
GRIK5	FALSE	FALSE	FALSE	FALSE	0.0381996731718903
CGB5	FALSE	FALSE	FALSE	FALSE	0.145391123090928
BIRC5	FALSE	FALSE	FALSE	FALSE	0.428762655816111
KRT27	FALSE	FALSE	FALSE	FALSE	-0.47804026132431
PNOC	FALSE	FALSE	FALSE	FALSE	0.149169344088949
MGMT	FALSE	FALSE	FALSE	FALSE	-0.021222582624806
PRL	FALSE	FALSE	FALSE	FALSE	-0.207002468212454
GBX2	FALSE	FALSE	FALSE	FALSE	0.287921423931834
BUB1	FALSE	FALSE	FALSE	FALSE	0.303028423174718
ONECUT1	TRUE	TRUE	FALSE	FALSE	0.587979922919978
OTP	FALSE	FALSE	FALSE	FALSE	0.144602300645722
OR7G3	FALSE	FALSE	FALSE	FALSE	-0.00479959897133631
IL17D	FALSE	FALSE	FALSE	FALSE	-0.231781711856654
H2AC8	FALSE	FALSE	FALSE	FALSE	0.385540925471719
PTGDR	FALSE	FALSE	FALSE	FALSE	-0.166854617768207
TRH	FALSE	FALSE	FALSE	FALSE	-0.191573969959072
NTSR2	FALSE	FALSE	FALSE	FALSE	0.0930058283017239
PROKR1	FALSE	FALSE	FALSE	FALSE	0.155515420168649
SCG2	FALSE	FALSE	FALSE	FALSE	0.0711128066128799
CHRNB1	FALSE	FALSE	FALSE	FALSE	0.0468647153160093
GSX1	FALSE	FALSE	FALSE	FALSE	0.0048551419740428
ADORA2B	FALSE	FALSE	FALSE	FALSE	0.0673102974230719
SIX2	FALSE	FALSE	FALSE	FALSE	0.351358541219818
CKAP2L	FALSE	FALSE	FALSE	FALSE	0.411126674948506
GNB2	FALSE	FALSE	FALSE	FALSE	-0.00312583439791059
FEN1	FALSE	FALSE	FALSE	FALSE	0.176400413907826
CST1	TRUE	TRUE	FALSE	FALSE	0.832123161968849
NMUR1	FALSE	FALSE	FALSE	FALSE	-0.422168955118188
FOS	FALSE	FALSE	FALSE	FALSE	-0.163158432479647
ITPR1	FALSE	FALSE	FALSE	FALSE	-0.122684028675192
GPR37	FALSE	FALSE	FALSE	FALSE	0.146243752110825
SHCBP1	FALSE	FALSE	FALSE	FALSE	0.272219110865313
LDB2	FALSE	FALSE	FALSE	FALSE	-0.280419047829144
HOXC10	TRUE	TRUE	FALSE	FALSE	0.644723768712391
ARNT2	FALSE	FALSE	FALSE	FALSE	-0.107032505068112
CALB2	FALSE	FALSE	FALSE	FALSE	-0.100186351789104
CST2	FALSE	FALSE	FALSE	FALSE	0.256260645376585
EEF2	FALSE	FALSE	FALSE	FALSE	-0.00895912602929005
H2AZ2	FALSE	FALSE	FALSE	FALSE	0.00194054239702979
GABRB3	FALSE	FALSE	FALSE	FALSE	-0.140021913670039
GPR151	FALSE	FALSE	FALSE	FALSE	0.0454748421558371
CBY2	TRUE	TRUE	FALSE	FALSE	0.58180783977062
HOXC5	FALSE	FALSE	FALSE	FALSE	0.11267141366446
TERT	TRUE	TRUE	FALSE	FALSE	0.707836100740596
PRKACA	FALSE	FALSE	FALSE	FALSE	-0.0301475430078755
