Gene	Degree	Betweenness	Closeness	PageRank	Status	logFC	Rank	isTop10	isKeyGene
FGF10	11	2888.64	0.0014	0.015138	Downregulated	-0.5685	1	Yes	No
KRT16	10	1468.18	0.0012	0.010967	Upregulated	0.6894	2	Yes	No
KRT6A	10	992.8	0.0011	0.011238	Upregulated	0.6497	3	Yes	No
SLC6A4	9	2335.3	0.0013	0.0116	Downregulated	-0.8002	4	Yes	No
SPRR1B	9	738.76	0.0012	0.009899	Upregulated	0.6494	5	Yes	No
SYT4	8	2344.39	0.0013	0.010496	Downregulated	-0.5323	6	Yes	No
GPM6A	8	1069.15	0.0013	0.010546	Downregulated	-0.7193	7	Yes	No
AQP4	8	875.04	0.0013	0.010659	Downregulated	-0.5009	8	Yes	No
CHRM2	8	766.58	0.0013	0.009528	Downregulated	-0.757	9	Yes	No
GRIA1	8	3947.39	0.0014	0.010321	Downregulated	-0.6923	10	Yes	No
KRT6B	7	89.87	0.0011	0.007341	Upregulated	0.5924	11	No	No
IHH	7	2066.31	0.0013	0.009558	Downregulated	-0.6614	12	No	No
MMP3	7	1234.43	0.0011	0.009733	Upregulated	0.53	13	No	No
GNGT1	6	1174.98	0.0012	0.00775	Upregulated	0.7453	14	No	No
MMP13	6	1192.84	0.0012	0.007793	Upregulated	0.6327	15	No	Yes
SCGB1A1	6	960.3	0.0013	0.007273	Downregulated	-0.6231	16	No	No
CHRM1	6	250.5	0.0012	0.007146	Downregulated	-0.7721	17	No	No
ALAS2	6	613.45	0.001	0.008181	Downregulated	-0.5595	18	No	No
SFTPC	6	465.1	0.0013	0.007524	Downregulated	-0.7344	19	No	No
IL36RN	6	456.96	0.0011	0.008263	Upregulated	0.7316	20	No	No
CPB2	5	535.78	0.001	0.006419	Downregulated	-0.7272	21	No	No
KRT6C	5	49.07	0.0011	0.005386	Upregulated	0.5964	22	No	No
FABP4	5	571.1	0.0011	0.007926	Downregulated	-0.6231	23	No	No
SLC4A1	5	608.9	0.001	0.006872	Downregulated	-0.525	24	No	No
NR0B2	5	1392.58	0.0012	0.006566	Downregulated	-0.5278	25	No	No
ADCY8	5	1477.58	0.0013	0.007905	Downregulated	-0.722	26	No	No
ADH1B	5	715.17	0.0012	0.007277	Downregulated	-0.5369	27	No	No
CAV3	5	368.91	0.001	0.008474	Downregulated	-0.6777	28	No	No
CACNA1S	5	612.93	0.0011	0.007662	Downregulated	-0.6214	29	No	No
LHX2	5	556.95	0.0011	0.006887	Upregulated	0.5882	30	No	No
POU4F1	5	711.84	0.0012	0.006997	Upregulated	0.5102	31	No	No
SBSN	5	362.49	0.0011	0.006085	Upregulated	0.5174	32	No	No
CSF3	4	737.19	0.001	0.006855	Downregulated	-0.5108	33	No	No
KRT75	4	561.78	0.0011	0.004507	Upregulated	0.518	34	No	No
APOH	4	423.74	0.001	0.005346	Downregulated	-0.5376	35	No	No
RETN	4	290.04	0.001	0.006109	Downregulated	-0.6131	36	No	No
IL36G	4	1354.2	0.0013	0.005265	Upregulated	0.6353	37	No	No
LHX5	4	427.77	0.0012	0.005471	Upregulated	0.5205	38	No	No
SFRP5	4	755.85	0.0012	0.005667	Downregulated	-0.5364	39	No	No
CYP24A1	4	677.59	0.0011	0.006447	Upregulated	0.538	40	No	No
PF4	4	480.3	0.001	0.005969	Downregulated	-0.5207	41	No	No
GRHL3	4	927.65	0.0012	0.004997	Upregulated	0.5564	42	No	No
CHRNB4	4	49.26	0.0011	0.004906	Upregulated	0.5861	43	No	No
NEIL3	4	522.5	9e-04	0.006263	Upregulated	0.5266	44	No	No
HHIP	4	949.09	0.0013	0.005458	Downregulated	-0.5463	45	No	No
AGRP	4	552.35	0.0011	0.006075	Downregulated	-0.6035	46	No	No
ITLN1	4	571	0.0011	0.006311	Downregulated	-0.5948	47	No	No
RSPO1	4	491.7	0.0012	0.005881	Downregulated	-0.5892	48	No	No
SLC24A2	4	810.88	0.0013	0.005456	Upregulated	0.6645	49	No	No
CA4	4	1575.71	0.0012	0.005797	Downregulated	-0.7337	50	No	No
PITX2	4	742.62	0.0012	0.006229	Upregulated	0.867	51	No	No
SPRR3	4	0	0.0011	0.004428	Upregulated	0.5554	52	No	No
DPP6	4	399.3	0.0012	0.005433	Downregulated	-0.5197	53	No	No
MMP1	4	136.36	0.001	0.005478	Upregulated	0.503	54	No	No
PCDH15	4	307.17	9e-04	0.006458	Downregulated	-0.612	55	No	No
SH3GL2	4	539.39	0.0012	0.006149	Downregulated	-0.6354	56	No	No
HTR3A	4	1001.43	0.0013	0.005154	Upregulated	0.5249	57	No	No
COL11A1	4	806.71	0.001	0.005639	Upregulated	0.6296	58	No	Yes
AGTR2	4	684.56	0.0012	0.004921	Downregulated	-0.6735	59	No	No
ZIC2	4	357.06	0.0011	0.005502	Upregulated	0.7267	60	No	No
TFAP2A	4	1416.95	0.0013	0.005385	Upregulated	0.5159	61	No	No
F11	4	199.99	0.001	0.005354	Downregulated	-0.7575	62	No	No
FEZF1	4	248.06	0.001	0.005619	Upregulated	0.6242	63	No	No
HBA2	3	0	9e-04	0.004244	Downregulated	-0.5029	64	No	No
KISS1R	3	150.76	0.001	0.004651	Upregulated	0.6126	65	No	No
ADAMTS8	3	7	0.125	0.008198	Downregulated	-0.5629	66	No	No
MYOC	3	380.27	0.0011	0.005183	Downregulated	-0.8283	67	No	No
PCSK2	3	615.78	0.0011	0.00491	Downregulated	-0.5082	68	No	No
GAL	3	195.9	0.001	0.004684	Upregulated	0.6132	69	No	No
WIF1	3	178.4	0.0011	0.004548	Downregulated	-0.593	70	No	No
DSG3	3	0	0.001	0.003493	Upregulated	0.5937	71	No	No
PGLYRP3	3	267.61	0.001	0.004787	Upregulated	0.6867	72	No	No
GPD1	3	237.99	0.001	0.004911	Downregulated	-0.5454	73	No	No
HOXC13	3	350	8e-04	0.00585	Upregulated	0.8514	74	No	No
TERT	3	40.78	0.001	0.004394	Upregulated	0.7078	75	No	No
HBA1	3	0	9e-04	0.004244	Downregulated	-0.7087	76	No	No
KCNA4	3	278.25	0.0011	0.004612	Downregulated	-0.764	77	No	No
OTX1	3	295.1	0.001	0.004423	Upregulated	0.5304	78	No	No
CYP1A2	3	615.33	0.0012	0.004896	Downregulated	-0.7962	79	No	No
ADGRF4	3	351	8e-04	0.00663	Upregulated	0.5511	80	No	No
ONECUT1	3	1185.51	0.0013	0.00419	Upregulated	0.588	81	No	No
GP9	3	68.4	9e-04	0.004506	Downregulated	-0.6019	82	No	No
C8B	3	0.33	9e-04	0.004079	Downregulated	-0.7446	83	No	No
AKR1B10	3	193.55	0.001	0.004958	Upregulated	0.7212	84	No	No
EDN3	3	234.9	0.0011	0.0041	Downregulated	-0.6609	85	No	No
CHRNA2	3	0	0.0011	0.003782	Downregulated	-0.6673	86	No	No
SP8	3	388.69	0.0012	0.004824	Upregulated	0.6042	87	No	No
SERPINB4	3	2478.74	0.0013	0.003862	Upregulated	0.5576	88	No	No
ADRA1A	3	793.52	0.0012	0.004655	Downregulated	-0.7562	89	No	No
CA9	3	860	0.001	0.005045	Upregulated	0.6409	90	No	Yes
CENPA	3	0.5	8e-04	0.004984	Upregulated	0.508	91	No	No
DMBX1	3	360.21	0.001	0.004744	Upregulated	0.6862	92	No	No
USH1G	3	92.95	9e-04	0.005069	Upregulated	0.5979	93	No	No
TRIM58	3	176	9e-04	0.004806	Downregulated	-0.518	94	No	No
CYP17A1	3	858.93	0.0011	0.004588	Downregulated	-0.5265	95	No	No
AGER	3	170.14	0.0012	0.00397	Downregulated	-0.5659	96	No	No
TMEM132C	3	524	0.001	0.006211	Downregulated	-0.6582	97	No	No
GABRQ	3	524	0.001	0.006168	Upregulated	0.5806	98	No	No
IBSP	2	0	0.0011	0.002979	Upregulated	0.5591	99	No	No
NMU	2	132.69	0.001	0.003203	Upregulated	0.57	100	No	No
PITX1	2	105.35	0.0011	0.003276	Upregulated	0.6799	101	No	No
CLDN18	2	0	0.0011	0.002811	Downregulated	-0.6902	102	No	No
GPR87	2	522	9e-04	0.003548	Upregulated	0.5093	103	No	No
ABCA12	2	108.36	0.001	0.003241	Upregulated	0.6588	104	No	No
HOXA10	2	176	0.0011	0.003886	Upregulated	0.5469	105	No	No
PPBP	2	0	8e-04	0.003259	Downregulated	-0.6137	106	No	No
RSPO2	2	0	0.001	0.003209	Downregulated	-0.6042	107	No	No
MMP11	2	1.67	9e-04	0.003077	Upregulated	0.5163	108	No	No
MIOX	2	132.34	9e-04	0.00339	Upregulated	0.518	109	No	No
CDC25C	2	0	8e-04	0.003457	Upregulated	0.5102	110	No	No
CALML3	2	140.36	0.0011	0.003499	Upregulated	0.5243	111	No	No
CLEC3B	2	6	0.125	0.00546	Downregulated	-0.5088	112	No	No
HTR3C	2	0	0.0012	0.002905	Downregulated	-0.772	113	No	No
FREM3	2	176	9e-04	0.004824	Downregulated	-0.7399	114	No	No
XAGE2	2	176	6e-04	0.005332	Downregulated	-0.581	115	No	No
RBP2	2	126.55	0.001	0.003563	Downregulated	-0.5908	116	No	No
GJB6	2	315.29	0.0011	0.003219	Upregulated	0.6974	117	No	No
NETO1	2	692	0.0012	0.00344	Upregulated	0.6193	118	No	No
ZIC5	2	24.55	0.001	0.003276	Upregulated	0.5831	119	No	No
ANGPTL7	2	176	9e-04	0.004368	Downregulated	-0.7111	120	No	No
LGI3	2	0	0.0011	0.002962	Downregulated	-0.6352	121	No	No
IGF2BP1	2	0	0.5	0.004762	Upregulated	0.5545	122	No	No
NTNG1	2	1	0.5	0.00695	Downregulated	-0.5134	123	No	No
NPSR1	2	304.44	0.0011	0.003327	Upregulated	0.5379	124	No	No
PTPN5	2	0	0.0012	0.002926	Downregulated	-0.5355	125	No	No
TRIM71	2	0	0.5	0.004762	Downregulated	-0.5343	126	No	No
MAGEA4	2	350	7e-04	0.004905	Upregulated	0.5011	127	No	No
TEKT1	2	0	0.5	0.004762	Downregulated	-0.5074	128	No	No
HOXC10	2	0	7e-04	0.004125	Upregulated	0.6447	129	No	No
FAM216B	2	0	0.5	0.004762	Downregulated	-0.5049	130	No	No
GABRA3	2	176	8e-04	0.004805	Upregulated	0.7674	131	No	No
PRAME	2	522	8e-04	0.004528	Upregulated	0.8499	132	No	Yes
MCEMP1	2	16.99	9e-04	0.00333	Downregulated	-0.5795	133	No	No
TMPRSS11A	2	1	0.5	0.00695	Upregulated	0.5269	134	No	No
SCARA5	2	4	0.1	0.005702	Downregulated	-0.5184	135	No	No
PGC	2	278.35	0.0011	0.003267	Downregulated	-0.5448	136	No	No
FOXE1	2	522	0.001	0.003834	Upregulated	0.6819	137	No	No
KLK6	2	0	0.001	0.002581	Upregulated	0.5632	138	No	No
AKR1B15	2	11.77	9e-04	0.00351	Upregulated	0.6813	139	No	No
LHFPL3	2	127.85	0.001	0.003393	Downregulated	-0.5739	140	No	No
MOGAT1	2	354.28	0.0011	0.003182	Downregulated	-0.5199	141	No	No
SLC25A48	2	174.36	0.001	0.003569	Upregulated	0.5124	142	No	No
FAM107A	2	0	0.0011	0.002967	Downregulated	-0.5093	143	No	No
HMGA2	2	0	0.5	0.004762	Upregulated	0.6017	144	No	No
HOXC11	2	0	7e-04	0.004125	Upregulated	0.6218	145	No	No
ANKRD66	2	0	0.5	0.004762	Downregulated	-0.5327	146	No	No
STRA6	2	220.32	0.0011	0.003398	Upregulated	0.5086	147	No	No
MMP12	2	225.61	0.0011	0.003056	Upregulated	0.5401	148	No	No
MAGEA3	2	692	9e-04	0.004068	Upregulated	0.5777	149	No	No
H2BC9	2	0	8e-04	0.003457	Upregulated	0.5784	150	No	No
GPIHBP1	2	163.2	0.001	0.003453	Downregulated	-0.5628	151	No	No
FADS6	2	114.69	9e-04	0.003494	Upregulated	0.5095	152	No	No
PTPRQ	2	0	8e-04	0.003523	Downregulated	-0.5435	153	No	No
TNNC1	1	0	1	0.004762	Downregulated	-0.5369	154	No	No
SSTR4	1	0	9e-04	0.002105	Downregulated	-0.5469	155	No	No
BARX1	1	0	0.0011	0.001884	Upregulated	0.7844	156	No	No
UPK3B	1	0	0.0011	0.001835	Downregulated	-0.5113	157	No	No
FGF11	1	0	9e-04	0.001896	Upregulated	0.503	158	No	No
LY6D	1	0	0.001	0.001647	Upregulated	0.6178	159	No	No
CST4	1	0	1	0.004762	Upregulated	0.5152	160	No	No
B4GALNT4	1	0	1	0.004762	Upregulated	0.5999	161	No	No
ECRG4	1	0	0.3333	0.003668	Downregulated	-0.5529	162	No	No
TMPRSS11E	1	0	0.3333	0.003668	Upregulated	0.7136	163	No	No
SGCG	1	0	9e-04	0.002155	Downregulated	-0.5746	164	No	No
PLA2G1B	1	0	0.001	0.002101	Downregulated	-0.6442	165	No	No
CLEC4M	1	0	0.0714	0.003138	Downregulated	-0.6258	166	No	No
PPP2R2C	1	0	9e-04	0.002017	Upregulated	0.5478	167	No	No
OR2W3	1	0	8e-04	0.002076	Downregulated	-0.5575	168	No	No
CDH19	1	0	1	0.004762	Downregulated	-0.5452	169	No	No
EFNA2	1	0	0.3333	0.003668	Upregulated	0.5881	170	No	No
STYXL2	1	0	7e-04	0.002756	Downregulated	-0.6052	171	No	No
GUCA2A	1	0	1	0.004762	Downregulated	-0.6234	172	No	No
TUBB3	1	0	0.001	0.001904	Upregulated	0.5388	173	No	No
CASKIN1	1	0	0.001	0.002021	Upregulated	0.5012	174	No	No
CMTM5	1	0	0.001	0.001847	Downregulated	-0.5024	175	No	No
IL1RAPL2	1	0	9e-04	0.001885	Upregulated	0.5598	176	No	No
APOBEC4	1	0	1	0.004762	Downregulated	-0.5125	177	No	No
ATP10B	1	0	1	0.004762	Upregulated	0.5365	178	No	No
DMRTA2	1	0	9e-04	0.002474	Upregulated	0.6101	179	No	No
SEC14L3	1	0	0.001	0.001749	Downregulated	-0.7112	180	No	No
NRG3	1	0	8e-04	0.002462	Downregulated	-0.5291	181	No	No
CEACAM8	1	0	8e-04	0.002171	Downregulated	-0.5697	182	No	No
MYH2	1	0	1	0.004762	Downregulated	-0.5977	183	No	No
SLC27A6	1	0	9e-04	0.002062	Downregulated	-0.5459	184	No	No
TMPRSS11D	1	0	0.0833	0.003037	Upregulated	0.5326	185	No	No
IL22RA2	1	0	8e-04	0.002171	Upregulated	0.5184	186	No	No
RXFP2	1	0	9e-04	0.002366	Downregulated	-0.7094	187	No	No
CST1	1	0	1	0.004762	Upregulated	0.8321	188	No	No
SYNDIG1L	1	0	1	0.004762	Downregulated	-0.5099	189	No	No
GYPE	1	0	8e-04	0.002764	Downregulated	-0.5321	190	No	No
PLAC1	1	0	5e-04	0.00298	Upregulated	0.5903	191	No	No
PGLYRP4	1	0	9e-04	0.00207	Upregulated	0.5114	192	No	No
RXRG	1	0	9e-04	0.002084	Downregulated	-0.5311	193	No	No
TNR	1	0	1	0.004762	Downregulated	-0.5836	194	No	No
ITLN2	1	0	9e-04	0.002055	Downregulated	-0.822	195	No	No
ANKRD1	1	0	9e-04	0.002155	Downregulated	-0.6734	196	No	No
WFDC12	1	0	7e-04	0.002593	Downregulated	-0.5007	197	No	No
PTPRH	1	0	1	0.004762	Upregulated	0.5161	198	No	No
TMEM252	1	0	8e-04	0.002571	Downregulated	-0.5047	199	No	No
SERPINB5	1	0	9e-04	0.00167	Upregulated	0.6429	200	No	No
ADAMTS20	1	0	0.0833	0.003037	Upregulated	0.5031	201	No	No
SHOX2	1	0	0.0011	0.001884	Upregulated	0.5187	202	No	No
ADGRA1	1	0	7e-04	0.002593	Downregulated	-0.5042	203	No	No
SYT12	1	0	1	0.004762	Upregulated	0.5097	204	No	No
DQX1	1	0	1	0.004762	Upregulated	0.5097	205	No	No
PNCK	1	0	0.001	0.002058	Upregulated	0.5087	206	No	No
CNTN6	1	0	0.3333	0.003668	Downregulated	-0.719	207	No	No
AWAT2	1	0	0.001	0.001951	Downregulated	-0.5127	208	No	No
HELT	1	0	0.001	0.002038	Downregulated	-0.5655	209	No	No
DLX6	1	0	0.001	0.002081	Upregulated	0.7276	210	No	No
